epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,832.893,1.28543,4.14417,1.15097,0.00271,0.7027,0.0524,0.02634,0.93394,3.69268,0.97736,0.00012,0.00012,0.00012
2,957.736,1.09253,3.72189,0.99561,0.00333,0.86486,0.3801,0.23798,1.04223,3.67855,0.97216,0.000257426,0.000257426,0.000257426
3,1034.07,1.1619,2.66024,1.07661,0.00354,0.91892,0.42874,0.15502,1.16827,3.6612,1.08954,0.00039208,0.00039208,0.00039208
4,1107.45,1.097,2.22301,0.9942,0.00354,0.91892,0.18976,0.08931,1.0413,3.65781,1.04039,0.000523962,0.000523962,0.000523962
5,1181.57,0.97798,2.07552,0.97849,0.00323,0.83784,0.01561,0.00844,1.21906,3.79065,1.13187,0.000653072,0.000653072,0.000653072
6,1254.12,1.09226,2.06939,1.03443,0.00271,0.7027,0.00507,0.00302,1.19056,3.74593,1.12283,0.00077941,0.00077941,0.00077941
7,1327.68,1.0358,1.96587,0.98446,0.00354,0.91892,0.00738,0.00425,1.24023,3.68134,1.13455,0.000902976,0.000902976,0.000902976
8,1402.4,1.12653,1.94395,1.01024,0.00354,0.91892,0.0463,0.02674,1.15063,3.61891,1.07296,0.00102377,0.00102377,0.00102377
9,1474.51,1.04798,1.84188,1.02257,0.73273,0.24324,0.29494,0.20595,1.16079,3.32983,1.15714,0.00114179,0.00114179,0.00114179
10,1546.12,1.05143,1.64066,1.02345,0.61411,0.18919,0.28102,0.18179,1.16547,3.30896,1.13664,0.00125704,0.00125704,0.00125704
11,1618.09,1.09036,1.78558,1.01561,1,0.24139,0.49781,0.30219,1.15116,3.15451,1.16355,0.00136952,0.00136952,0.00136952
12,1690,1.1022,1.72137,1.02061,0.8861,0.21078,0.38292,0.24705,1.3885,3.20552,1.30461,0.00147923,0.00147923,0.00147923
13,1761.8,1.04024,1.60325,0.97757,1,0.26736,0.40461,0.26003,1.37387,3.14959,1.31536,0.00158616,0.00158616,0.00158616
